Year,Country,Receiver,Reg,Giver,GiverReg,Score
1998,Finland,Finland (R),N,Israel,A,0
1998,Norway,Norway (R),N,Israel,A,4
1998,Sweden,Sweden (R),N,Israel,A,0
1998,Finland,Finland (R),N,Turkey,A,0
1998,Norway,Norway (R),N,Turkey,A,0
1998,Sweden,Sweden (R),N,Turkey,A,2
1998,Israel,Israel (R),A,Estonia,E,7
1998,Turkey,Turkey (R),A,Estonia,E,0
1998,Hungary,Hungary (R),CE,Estonia,E,0
1998,Poland,Poland (R),CE,Estonia,E,0
1998,Romania,Romania (R),CE,Estonia,E,0
1998,Slovakia,Slovakia (R),CE,Estonia,E,0
1998,Croatia,Croatia (R),SE,Estonia,E,3
1998,Macedonia,Macedonia (R),SE,Estonia,E,0
1998,Germany,Germany (R),C,Estonia,E,1
1998,Slovenia,Slovenia (R),C,Estonia,E,0
1998,Switzerland,Switzerland (R),C,Estonia,E,0
1998,Cyprus,Cyprus (R),S,Estonia,E,0
1998,Greece,Greece (R),S,Estonia,E,0
1998,Malta,Malta (R),S,Estonia,E,5
1998,Portugal,Portugal (R),S,Estonia,E,0
1998,Spain,Spain (R),S,Estonia,E,0
1998,Belgium,Belgium (R),W,Estonia,E,6
1998,France,France (R),W,Estonia,E,0
1998,Ireland,Ireland (R),W,Estonia,E,2
1998,Netherlands,Netherlands (R),W,Estonia,E,0
1998,United Kingdom,United Kingdom (R),W,Estonia,E,8
1998,Finland,Finland (R),N,Estonia,E,10
1998,Norway,Norway (R),N,Estonia,E,4
1998,Sweden,Sweden (R),N,Estonia,E,12
1998,Israel,Israel (R),A,Hungary,CE,0
1998,Turkey,Turkey (R),A,Hungary,CE,0
1998,Israel,Israel (R),A,Poland,CE,10
1998,Turkey,Turkey (R),A,Poland,CE,0
1998,Israel,Israel (R),A,Romania,CE,7
1998,Turkey,Turkey (R),A,Romania,CE,2
1998,Israel,Israel (R),A,Slovakia,CE,0
1998,Turkey,Turkey (R),A,Slovakia,CE,0
1998,Estonia,Estonia (R),E,Hungary,CE,4
1998,Estonia,Estonia (R),E,Poland,CE,1
1998,Estonia,Estonia (R),E,Romania,CE,0
1998,Estonia,Estonia (R),E,Slovakia,CE,8
1998,Poland,Poland (R),CE,Hungary,CE,2
1998,Romania,Romania (R),CE,Hungary,CE,0
1998,Slovakia,Slovakia (R),CE,Hungary,CE,0
1998,Hungary,Hungary (R),CE,Poland,CE,0
1998,Romania,Romania (R),CE,Poland,CE,0
1998,Slovakia,Slovakia (R),CE,Poland,CE,0
1998,Hungary,Hungary (R),CE,Romania,CE,1
1998,Poland,Poland (R),CE,Romania,CE,10
1998,Slovakia,Slovakia (R),CE,Romania,CE,0
1998,Hungary,Hungary (R),CE,Slovakia,CE,0
1998,Poland,Poland (R),CE,Slovakia,CE,0
1998,Romania,Romania (R),CE,Slovakia,CE,0
1998,Croatia,Croatia (R),SE,Hungary,CE,0
1998,Macedonia,Macedonia (R),SE,Hungary,CE,0
1998,Croatia,Croatia (R),SE,Poland,CE,6
1998,Macedonia,Macedonia (R),SE,Poland,CE,0
1998,Croatia,Croatia (R),SE,Romania,CE,0
1998,Macedonia,Macedonia (R),SE,Romania,CE,3
1998,Croatia,Croatia (R),SE,Slovakia,CE,10
1998,Macedonia,Macedonia (R),SE,Slovakia,CE,3
1998,Germany,Germany (R),C,Hungary,CE,0
1998,Slovenia,Slovenia (R),C,Hungary,CE,0
1998,Switzerland,Switzerland (R),C,Hungary,CE,0
1998,Germany,Germany (R),C,Poland,CE,0
1998,Slovenia,Slovenia (R),C,Poland,CE,0
1998,Switzerland,Switzerland (R),C,Poland,CE,0
1998,Germany,Germany (R),C,Romania,CE,6
1998,Slovenia,Slovenia (R),C,Romania,CE,5
1998,Switzerland,Switzerland (R),C,Romania,CE,0
1998,Germany,Germany (R),C,Slovakia,CE,0
1998,Slovenia,Slovenia (R),C,Slovakia,CE,0
1998,Switzerland,Switzerland (R),C,Slovakia,CE,0
1998,Cyprus,Cyprus (R),S,Hungary,CE,1
1998,Greece,Greece (R),S,Hungary,CE,0
1998,Malta,Malta (R),S,Hungary,CE,7
1998,Portugal,Portugal (R),S,Hungary,CE,0
1998,Spain,Spain (R),S,Hungary,CE,0
1998,Cyprus,Cyprus (R),S,Poland,CE,0
1998,Greece,Greece (R),S,Poland,CE,0
1998,Malta,Malta (R),S,Poland,CE,8
1998,Portugal,Portugal (R),S,Poland,CE,0
1998,Spain,Spain (R),S,Poland,CE,0
1998,Cyprus,Cyprus (R),S,Romania,CE,4
1998,Greece,Greece (R),S,Romania,CE,0
1998,Malta,Malta (R),S,Romania,CE,0
1998,Portugal,Portugal (R),S,Romania,CE,0
1998,Spain,Spain (R),S,Romania,CE,0
1998,Cyprus,Cyprus (R),S,Slovakia,CE,5
1998,Greece,Greece (R),S,Slovakia,CE,0
1998,Malta,Malta (R),S,Slovakia,CE,12
1998,Portugal,Portugal (R),S,Slovakia,CE,2
1998,Spain,Spain (R),S,Slovakia,CE,0
1998,Belgium,Belgium (R),W,Hungary,CE,3
1998,France,France (R),W,Hungary,CE,0
1998,Ireland,Ireland (R),W,Hungary,CE,6
1998,Netherlands,Netherlands (R),W,Hungary,CE,12
1998,United Kingdom,United Kingdom (R),W,Hungary,CE,10
1998,Belgium,Belgium (R),W,Poland,CE,12
1998,France,France (R),W,Poland,CE,0
1998,Ireland,Ireland (R),W,Poland,CE,2
1998,Netherlands,Netherlands (R),W,Poland,CE,5
1998,United Kingdom,United Kingdom (R),W,Poland,CE,7
1998,Belgium,Belgium (R),W,Romania,CE,0
1998,France,France (R),W,Romania,CE,0
1998,Ireland,Ireland (R),W,Romania,CE,8
1998,Netherlands,Netherlands (R),W,Romania,CE,0
1998,United Kingdom,United Kingdom (R),W,Romania,CE,12
1998,Belgium,Belgium (R),W,Slovakia,CE,7
1998,France,France (R),W,Slovakia,CE,0
1998,Ireland,Ireland (R),W,Slovakia,CE,4
1998,Netherlands,Netherlands (R),W,Slovakia,CE,6
1998,United Kingdom,United Kingdom (R),W,Slovakia,CE,1
1998,Finland,Finland (R),N,Hungary,CE,0
1998,Norway,Norway (R),N,Hungary,CE,5
1998,Sweden,Sweden (R),N,Hungary,CE,8
1998,Finland,Finland (R),N,Poland,CE,0
1998,Norway,Norway (R),N,Poland,CE,4
1998,Sweden,Sweden (R),N,Poland,CE,3
1998,Finland,Finland (R),N,Romania,CE,0
1998,Norway,Norway (R),N,Romania,CE,0
1998,Sweden,Sweden (R),N,Romania,CE,0
1998,Finland,Finland (R),N,Slovakia,CE,0
1998,Norway,Norway (R),N,Slovakia,CE,0
1998,Sweden,Sweden (R),N,Slovakia,CE,0
1998,Israel,Israel (R),A,Croatia,SE,0
1998,Turkey,Turkey (R),A,Croatia,SE,5
1998,Israel,Israel (R),A,Macedonia,SE,8
1998,Turkey,Turkey (R),A,Macedonia,SE,5
1998,Estonia,Estonia (R),E,Croatia,SE,0
1998,Estonia,Estonia (R),E,Macedonia,SE,0
1998,Hungary,Hungary (R),CE,Croatia,SE,0
1998,Poland,Poland (R),CE,Croatia,SE,0
1998,Romania,Romania (R),CE,Croatia,SE,0
1998,Slovakia,Slovakia (R),CE,Croatia,SE,8
1998,Hungary,Hungary (R),CE,Macedonia,SE,0
1998,Poland,Poland (R),CE,Macedonia,SE,0
1998,Romania,Romania (R),CE,Macedonia,SE,0
1998,Slovakia,Slovakia (R),CE,Macedonia,SE,0
1998,Macedonia,Macedonia (R),SE,Croatia,SE,6
1998,Croatia,Croatia (R),SE,Macedonia,SE,12
1998,Germany,Germany (R),C,Croatia,SE,0
1998,Slovenia,Slovenia (R),C,Croatia,SE,3
1998,Switzerland,Switzerland (R),C,Croatia,SE,0
1998,Germany,Germany (R),C,Macedonia,SE,0
1998,Slovenia,Slovenia (R),C,Macedonia,SE,0
1998,Switzerland,Switzerland (R),C,Macedonia,SE,0
1998,Cyprus,Cyprus (R),S,Croatia,SE,4
1998,Greece,Greece (R),S,Croatia,SE,0
1998,Malta,Malta (R),S,Croatia,SE,7
1998,Portugal,Portugal (R),S,Croatia,SE,0
1998,Spain,Spain (R),S,Croatia,SE,1
1998,Cyprus,Cyprus (R),S,Macedonia,SE,0
1998,Greece,Greece (R),S,Macedonia,SE,0
1998,Malta,Malta (R),S,Macedonia,SE,0
1998,Portugal,Portugal (R),S,Macedonia,SE,4
1998,Spain,Spain (R),S,Macedonia,SE,0
1998,Belgium,Belgium (R),W,Croatia,SE,0
1998,France,France (R),W,Croatia,SE,0
1998,Ireland,Ireland (R),W,Croatia,SE,2
1998,Netherlands,Netherlands (R),W,Croatia,SE,10
1998,United Kingdom,United Kingdom (R),W,Croatia,SE,12
1998,Belgium,Belgium (R),W,Macedonia,SE,6
1998,France,France (R),W,Macedonia,SE,2
1998,Ireland,Ireland (R),W,Macedonia,SE,7
1998,Netherlands,Netherlands (R),W,Macedonia,SE,3
1998,United Kingdom,United Kingdom (R),W,Macedonia,SE,10
1998,Finland,Finland (R),N,Croatia,SE,0
1998,Norway,Norway (R),N,Croatia,SE,0
1998,Sweden,Sweden (R),N,Croatia,SE,0
1998,Finland,Finland (R),N,Macedonia,SE,1
1998,Norway,Norway (R),N,Macedonia,SE,0
1998,Sweden,Sweden (R),N,Macedonia,SE,0
1998,Israel,Israel (R),A,Germany,C,7
1998,Turkey,Turkey (R),A,Germany,C,12
1998,Israel,Israel (R),A,Slovenia,C,7
1998,Turkey,Turkey (R),A,Slovenia,C,0
1998,Israel,Israel (R),A,Switzerland,C,10
1998,Turkey,Turkey (R),A,Switzerland,C,0
1998,Estonia,Estonia (R),E,Germany,C,0
1998,Estonia,Estonia (R),E,Slovenia,C,2
1998,Estonia,Estonia (R),E,Switzerland,C,0
1998,Hungary,Hungary (R),CE,Germany,C,0
1998,Poland,Poland (R),CE,Germany,C,5
1998,Romania,Romania (R),CE,Germany,C,0
1998,Slovakia,Slovakia (R),CE,Germany,C,0
1998,Hungary,Hungary (R),CE,Slovenia,C,0
1998,Poland,Poland (R),CE,Slovenia,C,0
1998,Romania,Romania (R),CE,Slovenia,C,0
1998,Slovakia,Slovakia (R),CE,Slovenia,C,0
1998,Hungary,Hungary (R),CE,Switzerland,C,0
1998,Poland,Poland (R),CE,Switzerland,C,0
1998,Romania,Romania (R),CE,Switzerland,C,0
1998,Slovakia,Slovakia (R),CE,Switzerland,C,0
1998,Croatia,Croatia (R),SE,Germany,C,10
1998,Macedonia,Macedonia (R),SE,Germany,C,0
1998,Croatia,Croatia (R),SE,Slovenia,C,12
1998,Macedonia,Macedonia (R),SE,Slovenia,C,4
1998,Croatia,Croatia (R),SE,Switzerland,C,5
1998,Macedonia,Macedonia (R),SE,Switzerland,C,0
1998,Slovenia,Slovenia (R),C,Germany,C,0
1998,Switzerland,Switzerland (R),C,Germany,C,0
1998,Germany,Germany (R),C,Slovenia,C,8
1998,Switzerland,Switzerland (R),C,Slovenia,C,0
1998,Germany,Germany (R),C,Switzerland,C,12
1998,Slovenia,Slovenia (R),C,Switzerland,C,0
1998,Cyprus,Cyprus (R),S,Germany,C,0
1998,Greece,Greece (R),S,Germany,C,0
1998,Malta,Malta (R),S,Germany,C,8
1998,Portugal,Portugal (R),S,Germany,C,0
1998,Spain,Spain (R),S,Germany,C,0
1998,Cyprus,Cyprus (R),S,Slovenia,C,0
1998,Greece,Greece (R),S,Slovenia,C,0
1998,Malta,Malta (R),S,Slovenia,C,3
1998,Portugal,Portugal (R),S,Slovenia,C,0
1998,Spain,Spain (R),S,Slovenia,C,0
1998,Cyprus,Cyprus (R),S,Switzerland,C,0
1998,Greece,Greece (R),S,Switzerland,C,0
1998,Malta,Malta (R),S,Switzerland,C,8
1998,Portugal,Portugal (R),S,Switzerland,C,0
1998,Spain,Spain (R),S,Switzerland,C,6
1998,Belgium,Belgium (R),W,Germany,C,4
1998,France,France (R),W,Germany,C,0
1998,Ireland,Ireland (R),W,Germany,C,2
1998,Netherlands,Netherlands (R),W,Germany,C,6
1998,United Kingdom,United Kingdom (R),W,Germany,C,1
1998,Belgium,Belgium (R),W,Slovenia,C,6
1998,France,France (R),W,Slovenia,C,0
1998,Ireland,Ireland (R),W,Slovenia,C,1
1998,Netherlands,Netherlands (R),W,Slovenia,C,0
1998,United Kingdom,United Kingdom (R),W,Slovenia,C,5
1998,Belgium,Belgium (R),W,Switzerland,C,4
1998,France,France (R),W,Switzerland,C,0
1998,Ireland,Ireland (R),W,Switzerland,C,2
1998,Netherlands,Netherlands (R),W,Switzerland,C,7
1998,United Kingdom,United Kingdom (R),W,Switzerland,C,3
1998,Finland,Finland (R),N,Germany,C,0
1998,Norway,Norway (R),N,Germany,C,3
1998,Sweden,Sweden (R),N,Germany,C,0
1998,Finland,Finland (R),N,Slovenia,C,0
1998,Norway,Norway (R),N,Slovenia,C,10
1998,Sweden,Sweden (R),N,Slovenia,C,0
1998,Finland,Finland (R),N,Switzerland,C,0
1998,Norway,Norway (R),N,Switzerland,C,1
1998,Sweden,Sweden (R),N,Switzerland,C,0
1998,Israel,Israel (R),A,Cyprus,S,10
1998,Turkey,Turkey (R),A,Cyprus,S,0
1998,Israel,Israel (R),A,Greece,S,10
1998,Turkey,Turkey (R),A,Greece,S,0
1998,Israel,Israel (R),A,Malta,S,12
1998,Turkey,Turkey (R),A,Malta,S,0
1998,Israel,Israel (R),A,Portugal,S,12
1998,Turkey,Turkey (R),A,Portugal,S,0
1998,Israel,Israel (R),A,Spain,S,10
1998,Turkey,Turkey (R),A,Spain,S,0
1998,Estonia,Estonia (R),E,Cyprus,S,0
1998,Estonia,Estonia (R),E,Greece,S,0
1998,Estonia,Estonia (R),E,Malta,S,0
1998,Estonia,Estonia (R),E,Portugal,S,0
1998,Estonia,Estonia (R),E,Spain,S,2
1998,Hungary,Hungary (R),CE,Cyprus,S,0
1998,Poland,Poland (R),CE,Cyprus,S,0
1998,Romania,Romania (R),CE,Cyprus,S,0
1998,Slovakia,Slovakia (R),CE,Cyprus,S,0
1998,Hungary,Hungary (R),CE,Greece,S,0
1998,Poland,Poland (R),CE,Greece,S,0
1998,Romania,Romania (R),CE,Greece,S,0
1998,Slovakia,Slovakia (R),CE,Greece,S,0
1998,Hungary,Hungary (R),CE,Malta,S,0
1998,Poland,Poland (R),CE,Malta,S,0
1998,Romania,Romania (R),CE,Malta,S,0
1998,Slovakia,Slovakia (R),CE,Malta,S,0
1998,Hungary,Hungary (R),CE,Portugal,S,0
1998,Poland,Poland (R),CE,Portugal,S,0
1998,Romania,Romania (R),CE,Portugal,S,0
1998,Slovakia,Slovakia (R),CE,Portugal,S,0
1998,Hungary,Hungary (R),CE,Spain,S,0
1998,Poland,Poland (R),CE,Spain,S,0
1998,Romania,Romania (R),CE,Spain,S,0
1998,Slovakia,Slovakia (R),CE,Spain,S,0
1998,Croatia,Croatia (R),SE,Cyprus,S,7
1998,Macedonia,Macedonia (R),SE,Cyprus,S,0
1998,Croatia,Croatia (R),SE,Greece,S,5
1998,Macedonia,Macedonia (R),SE,Greece,S,0
1998,Croatia,Croatia (R),SE,Malta,S,10
1998,Macedonia,Macedonia (R),SE,Malta,S,0
1998,Croatia,Croatia (R),SE,Portugal,S,2
1998,Macedonia,Macedonia (R),SE,Portugal,S,0
1998,Croatia,Croatia (R),SE,Spain,S,1
1998,Macedonia,Macedonia (R),SE,Spain,S,0
1998,Germany,Germany (R),C,Cyprus,S,0
1998,Slovenia,Slovenia (R),C,Cyprus,S,0
1998,Switzerland,Switzerland (R),C,Cyprus,S,0
1998,Germany,Germany (R),C,Greece,S,3
1998,Slovenia,Slovenia (R),C,Greece,S,2
1998,Switzerland,Switzerland (R),C,Greece,S,0
1998,Germany,Germany (R),C,Malta,S,0
1998,Slovenia,Slovenia (R),C,Malta,S,0
1998,Switzerland,Switzerland (R),C,Malta,S,0
1998,Germany,Germany (R),C,Portugal,S,10
1998,Slovenia,Slovenia (R),C,Portugal,S,0
1998,Switzerland,Switzerland (R),C,Portugal,S,0
1998,Germany,Germany (R),C,Spain,S,12
1998,Slovenia,Slovenia (R),C,Spain,S,0
1998,Switzerland,Switzerland (R),C,Spain,S,0
1998,Greece,Greece (R),S,Cyprus,S,12
1998,Malta,Malta (R),S,Cyprus,S,5
1998,Portugal,Portugal (R),S,Cyprus,S,2
1998,Spain,Spain (R),S,Cyprus,S,4
1998,Cyprus,Cyprus (R),S,Greece,S,12
1998,Malta,Malta (R),S,Greece,S,6
1998,Portugal,Portugal (R),S,Greece,S,1
1998,Spain,Spain (R),S,Greece,S,0
1998,Cyprus,Cyprus (R),S,Malta,S,1
1998,Greece,Greece (R),S,Malta,S,0
1998,Portugal,Portugal (R),S,Malta,S,2
1998,Spain,Spain (R),S,Malta,S,0
1998,Cyprus,Cyprus (R),S,Portugal,S,4
1998,Greece,Greece (R),S,Portugal,S,0
1998,Malta,Malta (R),S,Portugal,S,5
1998,Spain,Spain (R),S,Portugal,S,0
1998,Cyprus,Cyprus (R),S,Spain,S,0
1998,Greece,Greece (R),S,Spain,S,0
1998,Malta,Malta (R),S,Spain,S,5
1998,Portugal,Portugal (R),S,Spain,S,6
1998,Belgium,Belgium (R),W,Cyprus,S,6
1998,France,France (R),W,Cyprus,S,1
1998,Ireland,Ireland (R),W,Cyprus,S,0
1998,Netherlands,Netherlands (R),W,Cyprus,S,0
1998,United Kingdom,United Kingdom (R),W,Cyprus,S,8
1998,Belgium,Belgium (R),W,Greece,S,4
1998,France,France (R),W,Greece,S,0
1998,Ireland,Ireland (R),W,Greece,S,0
1998,Netherlands,Netherlands (R),W,Greece,S,8
1998,United Kingdom,United Kingdom (R),W,Greece,S,7
1998,Belgium,Belgium (R),W,Malta,S,3
1998,France,France (R),W,Malta,S,0
1998,Ireland,Ireland (R),W,Malta,S,6
1998,Netherlands,Netherlands (R),W,Malta,S,7
1998,United Kingdom,United Kingdom (R),W,Malta,S,8
1998,Belgium,Belgium (R),W,Portugal,S,8
1998,France,France (R),W,Portugal,S,0
1998,Ireland,Ireland (R),W,Portugal,S,1
1998,Netherlands,Netherlands (R),W,Portugal,S,7
1998,United Kingdom,United Kingdom (R),W,Portugal,S,6
1998,Belgium,Belgium (R),W,Spain,S,7
1998,France,France (R),W,Spain,S,0
1998,Ireland,Ireland (R),W,Spain,S,0
1998,Netherlands,Netherlands (R),W,Spain,S,4
1998,United Kingdom,United Kingdom (R),W,Spain,S,3
1998,Finland,Finland (R),N,Cyprus,S,0
1998,Norway,Norway (R),N,Cyprus,S,3
1998,Sweden,Sweden (R),N,Cyprus,S,0
1998,Finland,Finland (R),N,Greece,S,0
1998,Norway,Norway (R),N,Greece,S,0
1998,Sweden,Sweden (R),N,Greece,S,0
1998,Finland,Finland (R),N,Malta,S,0
1998,Norway,Norway (R),N,Malta,S,5
1998,Sweden,Sweden (R),N,Malta,S,4
1998,Finland,Finland (R),N,Portugal,S,0
1998,Norway,Norway (R),N,Portugal,S,3
1998,Sweden,Sweden (R),N,Portugal,S,0
1998,Finland,Finland (R),N,Spain,S,0
1998,Norway,Norway (R),N,Spain,S,8
1998,Sweden,Sweden (R),N,Spain,S,0
1998,Israel,Israel (R),A,Belgium,W,10
1998,Turkey,Turkey (R),A,Belgium,W,0
1998,Israel,Israel (R),A,France,W,12
1998,Turkey,Turkey (R),A,France,W,0
1998,Israel,Israel (R),A,Ireland,W,6
1998,Turkey,Turkey (R),A,Ireland,W,0
1998,Israel,Israel (R),A,Netherlands,W,6
1998,Turkey,Turkey (R),A,Netherlands,W,1
1998,Israel,Israel (R),A,United Kingdom,W,5
1998,Turkey,Turkey (R),A,United Kingdom,W,0
1998,Estonia,Estonia (R),E,Belgium,W,0
1998,Estonia,Estonia (R),E,France,W,0
1998,Estonia,Estonia (R),E,Ireland,W,1
1998,Estonia,Estonia (R),E,Netherlands,W,2
1998,Estonia,Estonia (R),E,United Kingdom,W,0
1998,Hungary,Hungary (R),CE,Belgium,W,0
1998,Poland,Poland (R),CE,Belgium,W,0
1998,Romania,Romania (R),CE,Belgium,W,0
1998,Slovakia,Slovakia (R),CE,Belgium,W,0
1998,Hungary,Hungary (R),CE,France,W,1
1998,Poland,Poland (R),CE,France,W,2
1998,Romania,Romania (R),CE,France,W,0
1998,Slovakia,Slovakia (R),CE,France,W,0
1998,Hungary,Hungary (R),CE,Ireland,W,0
1998,Poland,Poland (R),CE,Ireland,W,0
1998,Romania,Romania (R),CE,Ireland,W,0
1998,Slovakia,Slovakia (R),CE,Ireland,W,0
1998,Hungary,Hungary (R),CE,Netherlands,W,0
1998,Poland,Poland (R),CE,Netherlands,W,0
1998,Romania,Romania (R),CE,Netherlands,W,0
1998,Slovakia,Slovakia (R),CE,Netherlands,W,0
1998,Hungary,Hungary (R),CE,United Kingdom,W,0
1998,Poland,Poland (R),CE,United Kingdom,W,0
1998,Romania,Romania (R),CE,United Kingdom,W,0
1998,Slovakia,Slovakia (R),CE,United Kingdom,W,0
1998,Croatia,Croatia (R),SE,Belgium,W,5
1998,Macedonia,Macedonia (R),SE,Belgium,W,0
1998,Croatia,Croatia (R),SE,France,W,8
1998,Macedonia,Macedonia (R),SE,France,W,0
1998,Croatia,Croatia (R),SE,Ireland,W,3
1998,Macedonia,Macedonia (R),SE,Ireland,W,0
1998,Croatia,Croatia (R),SE,Netherlands,W,4
1998,Macedonia,Macedonia (R),SE,Netherlands,W,0
1998,Croatia,Croatia (R),SE,United Kingdom,W,2
1998,Macedonia,Macedonia (R),SE,United Kingdom,W,0
1998,Germany,Germany (R),C,Belgium,W,7
1998,Slovenia,Slovenia (R),C,Belgium,W,0
1998,Switzerland,Switzerland (R),C,Belgium,W,0
1998,Germany,Germany (R),C,France,W,0
1998,Slovenia,Slovenia (R),C,France,W,0
1998,Switzerland,Switzerland (R),C,France,W,0
1998,Germany,Germany (R),C,Ireland,W,8
1998,Slovenia,Slovenia (R),C,Ireland,W,0
1998,Switzerland,Switzerland (R),C,Ireland,W,0
1998,Germany,Germany (R),C,Netherlands,W,12
1998,Slovenia,Slovenia (R),C,Netherlands,W,0
1998,Switzerland,Switzerland (R),C,Netherlands,W,0
1998,Germany,Germany (R),C,United Kingdom,W,6
1998,Slovenia,Slovenia (R),C,United Kingdom,W,0
1998,Switzerland,Switzerland (R),C,United Kingdom,W,0
1998,Cyprus,Cyprus (R),S,Belgium,W,2
1998,Greece,Greece (R),S,Belgium,W,0
1998,Malta,Malta (R),S,Belgium,W,8
1998,Portugal,Portugal (R),S,Belgium,W,1
1998,Spain,Spain (R),S,Belgium,W,3
1998,Cyprus,Cyprus (R),S,France,W,0
1998,Greece,Greece (R),S,France,W,0
1998,Malta,Malta (R),S,France,W,6
1998,Portugal,Portugal (R),S,France,W,10
1998,Spain,Spain (R),S,France,W,4
1998,Cyprus,Cyprus (R),S,Ireland,W,0
1998,Greece,Greece (R),S,Ireland,W,0
1998,Malta,Malta (R),S,Ireland,W,12
1998,Portugal,Portugal (R),S,Ireland,W,0
1998,Spain,Spain (R),S,Ireland,W,0
1998,Cyprus,Cyprus (R),S,Netherlands,W,0
1998,Greece,Greece (R),S,Netherlands,W,0
1998,Malta,Malta (R),S,Netherlands,W,8
1998,Portugal,Portugal (R),S,Netherlands,W,0
1998,Spain,Spain (R),S,Netherlands,W,0
1998,Cyprus,Cyprus (R),S,United Kingdom,W,3
1998,Greece,Greece (R),S,United Kingdom,W,0
1998,Malta,Malta (R),S,United Kingdom,W,12
1998,Portugal,Portugal (R),S,United Kingdom,W,0
1998,Spain,Spain (R),S,United Kingdom,W,0
1998,France,France (R),W,Belgium,W,0
1998,Ireland,Ireland (R),W,Belgium,W,0
1998,Netherlands,Netherlands (R),W,Belgium,W,12
1998,United Kingdom,United Kingdom (R),W,Belgium,W,6
1998,Belgium,Belgium (R),W,France,W,7
1998,Ireland,Ireland (R),W,France,W,0
1998,Netherlands,Netherlands (R),W,France,W,5
1998,United Kingdom,United Kingdom (R),W,France,W,3
1998,Belgium,Belgium (R),W,Ireland,W,7
1998,France,France (R),W,Ireland,W,0
1998,Netherlands,Netherlands (R),W,Ireland,W,10
1998,United Kingdom,United Kingdom (R),W,Ireland,W,5
1998,Belgium,Belgium (R),W,Netherlands,W,10
1998,France,France (R),W,Netherlands,W,0
1998,Ireland,Ireland (R),W,Netherlands,W,0
1998,United Kingdom,United Kingdom (R),W,Netherlands,W,7
1998,Belgium,Belgium (R),W,United Kingdom,W,7
1998,France,France (R),W,United Kingdom,W,0
1998,Ireland,Ireland (R),W,United Kingdom,W,8
1998,Netherlands,Netherlands (R),W,United Kingdom,W,10
1998,Finland,Finland (R),N,Belgium,W,0
1998,Norway,Norway (R),N,Belgium,W,4
1998,Sweden,Sweden (R),N,Belgium,W,0
1998,Finland,Finland (R),N,France,W,0
1998,Norway,Norway (R),N,France,W,0
1998,Sweden,Sweden (R),N,France,W,0
1998,Finland,Finland (R),N,Ireland,W,0
1998,Norway,Norway (R),N,Ireland,W,4
1998,Sweden,Sweden (R),N,Ireland,W,2
1998,Finland,Finland (R),N,Netherlands,W,0
1998,Norway,Norway (R),N,Netherlands,W,3
1998,Sweden,Sweden (R),N,Netherlands,W,5
1998,Finland,Finland (R),N,United Kingdom,W,0
1998,Norway,Norway (R),N,United Kingdom,W,4
1998,Sweden,Sweden (R),N,United Kingdom,W,1
1998,Israel,Israel (R),A,Finland,N,10
1998,Turkey,Turkey (R),A,Finland,N,0
1998,Israel,Israel (R),A,Norway,N,3
1998,Turkey,Turkey (R),A,Norway,N,0
1998,Israel,Israel (R),A,Sweden,N,5
1998,Turkey,Turkey (R),A,Sweden,N,0
